Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ACHILLODYNIA, A,12,21,71
ACHIME, A,6,13,34
ACHIMENES, A,9,16,56
ACHINESE, A,8,13,47
ACHING, A,6,12,32
ACHINGLY, A,8,17,59
ACHIRA, A,6,11,30
ACHLAMYDATE, A,11,22,74
ACHLAMYDEAE, A,11,22,74
ACHLAMYDEOUS, A,12,23,77
ACHLOROPSIA, A,11,18,62
ACHOLIA, A,7,12,36
ACHOLOE, A,7,12,36
ACHOLOUS, A,8,13,47
ACHOLURIA, A,9,14,50
ACHOMAWI, A,8,18,62
ACHONDRITE, A,10,16,56
ACHONDROPLASIA, A,14,22,74
ACHOR, A,5,10,20
ACHORDAL, A,8,14,50
ACHORDATA, A,9,15,53
ACHORDATE, A,9,15,53
ACHORION, A,8,13,47
ACHRAS, A,6,11,30
ACHREE, A,6,11,30
ACHROGLOBIN, A,11,19,65
ACHROITE, A,8,13,47
ACHROMA, A,7,14,40
ACHROMASIA, A,10,17,59
ACHROMAT, A,8,15,53
ACHROMATE, A,9,16,56
ACHROMATIN, A,10,17,59
ACHROMATOLYSIS, A,14,24,80
ACHROMATOPE, A,11,20,68
ACHROMATOPIA, A,12,21,71
ACHROMATOPSIA, A,13,22,74
ACHROMATOPSY, A,12,24,80
ACHROMATOSIS, A,12,19,65
ACHROMATOUS, A,11,18,62
ACHROMATURIA, A,12,19,65
ACHROMIA, A,8,15,53
ACHROMOUS, A,9,16,56
ACHROOUS, A,8,13,47
ACHROPSIA, A,9,16,56
ACHTEL, A,6,11,30
ACHUAS, A,6,11,30
ACHY, A,4,12,24
ACHYLIA, A,7,15,42
ACHYLOUS, A,8,16,56
ACHYMIA, A,7,17,46
ACHYMOUS, A,8,18,62
ACHYRODES, A,9,18,62
ACIDANTHERA, A,11,17,59
ACIDASPIS, A,9,14,48
ACIDEMIA, A,8,13,45
ACIDER, A,6,9,24
ACIDIFEROUS, A,11,17,59
ACIDIFIABLE, A,11,19,65
ACIDIFIANT, A,10,16,56
ACIDIFIER, A,9,15,53
ACIDIFY, A,7,16,44
ACIDIMETER, A,10,15,51
ACIDIMETRY, A,10,18,62
ACIDITE, A,7,10,29
ACIDITY, A,7,13,38
ACIDLY, A,6,12,32
ACIDNESS, A,8,11,39
ACIDOID, A,7,11,31
ACIDOLOGY, A,9,16,56
